Date,Open,High,Low,Close,Adj Close,Volume
2018-02-23,6.302222,6.355555,6.231111,6.355555,6.046865,28429281
2018-02-26,6.444444,6.684444,6.426666,6.675555,6.351323,81597240
2018-02-27,6.711111,6.728888,6.462222,6.568888,6.249837,48349714
2018-02-28,6.533333,6.586666,6.328888,6.586666,6.266750,54338805
2018-03-01,6.702222,6.755555,6.471111,6.560000,6.241381,35725493
2018-03-02,6.462222,6.568888,6.382222,6.400000,6.089151,30104894
2018-03-05,6.408888,6.480000,6.222222,6.222222,5.920008,35484977
2018-03-06,6.355555,6.400000,6.204444,6.320000,6.013037,39556192
2018-03-07,6.320000,6.515555,6.311111,6.391111,6.080694,39226801
2018-03-08,6.435555,6.853333,6.355555,6.782222,6.452809,64580400
2018-03-09,6.915555,7.057777,6.773333,6.826666,6.495094,73394122
2018-03-12,6.995555,7.022222,6.844444,6.933333,6.596581,46115241
2018-03-13,7.111111,7.137777,6.693333,6.764444,6.435894,62220332
2018-03-14,6.755555,6.862222,6.666666,6.764444,6.435894,28327437
2018-03-15,6.755555,6.933333,6.711111,6.888888,6.554294,43948644
2018-03-16,6.844444,6.897777,6.675555,6.791111,6.461266,48885624
2018-03-19,6.773333,6.977777,6.684444,6.897777,6.562751,36421753
2018-03-20,6.835555,7.466666,6.826666,7.377777,7.019438,117005463
2018-03-21,7.431111,7.528888,7.155555,7.200000,6.850295,80625719
2018-03-22,7.306666,7.422222,7.084444,7.164444,6.816465,59871204
2018-03-23,6.675555,7.200000,6.480000,6.835555,6.503551,117874656
2018-03-26,6.800000,7.013333,6.488888,6.942222,6.605038,94075762
2018-03-27,7.075555,7.191111,6.942222,7.075555,6.731894,90949725
2018-03-28,6.986666,7.280000,6.746666,6.897777,6.562751,100424290
2018-03-29,6.897777,7.022222,6.666666,6.844444,6.512009,78428151
2018-04-03,6.648888,7.066666,6.648888,7.022222,6.681151,67712431
2018-04-04,7.128888,7.520000,7.120000,7.120000,6.774181,80503211
2018-04-06,7.217777,7.297777,7.057777,7.182222,6.833381,57162359
2018-04-09,7.146666,7.520000,7.066666,7.502222,7.137838,77856826
2018-04-10,7.555555,7.760000,7.404444,7.448888,7.087095,79157614
2018-04-11,7.537777,7.617777,7.360000,7.422222,7.061725,68781829
2018-04-12,7.422222,7.715555,7.422222,7.555555,7.188581,69254833
2018-04-13,7.653333,7.697777,7.200000,7.297777,6.943323,61447918
2018-04-16,7.306666,7.448888,7.155555,7.262222,6.909495,47191452
2018-04-17,7.351111,7.368888,6.817777,6.853333,6.520466,74053221
2018-04-18,7.013333,7.111111,6.631111,6.968888,6.630408,81423274
2018-04-19,7.066666,7.244444,7.013333,7.155555,6.808009,61739424
2018-04-20,7.155555,7.244444,6.933333,6.986666,6.647323,37358385
2018-04-23,7.146666,7.146666,6.906666,6.924444,6.588124,41861934
2018-04-24,7.013333,7.111111,6.942222,7.075555,6.731894,54072024
2018-04-25,7.137777,7.457777,7.013333,7.457777,7.095552,87480659
2018-04-26,7.448888,7.457777,7.244444,7.377777,7.019438,63667035
2018-04-27,7.404444,7.520000,7.306666,7.466666,7.104009,43520514
2018-04-30,7.377777,7.484444,7.262222,7.422222,7.061725,31426609
2018-05-02,7.466666,7.475555,7.182222,7.191111,6.841839,77398969
2018-05-03,7.368888,7.413333,7.128888,7.351111,6.994066,61002825
2018-05-04,7.448888,7.688888,7.386666,7.608888,7.239324,98014023
2018-05-07,7.537777,8.053333,7.377777,7.813333,7.433838,82900993
2018-05-08,7.893333,8.106666,7.866666,7.937777,7.552238,60335849
2018-05-09,7.991111,8.311111,7.848888,8.293333,7.890525,61292468
2018-05-10,8.293333,8.311111,8.000000,8.168888,7.772123,66415376
2018-05-11,8.284444,8.488888,8.115555,8.195555,7.797496,77024268
2018-05-14,8.302222,8.631111,8.222222,8.515555,8.101954,77086251
2018-05-15,8.524444,8.737777,8.524444,8.604444,8.186524,67766915
2018-05-16,8.711111,8.711111,8.391111,8.480000,8.068125,66054442
2018-05-17,8.533333,8.640000,8.391111,8.488888,8.076583,44903875
2018-05-18,8.515555,8.577777,8.400000,8.462222,8.051210,35480810
2018-05-21,8.488888,8.657777,8.115555,8.124444,7.729839,92307082
2018-05-23,8.177777,8.417777,8.142222,8.213333,7.814411,80549541
2018-05-24,8.222222,8.408888,8.088888,8.373333,7.966639,51996768
2018-05-25,8.328888,8.666666,8.266666,8.648888,8.228812,81017730
2018-05-28,8.728888,9.155555,8.711111,9.066666,8.626297,106760922
2018-05-29,9.044444,9.288888,8.444444,8.533333,8.118868,110599141
2018-05-30,8.311111,8.702222,8.240000,8.577777,8.161154,86493467
2018-05-31,8.800000,8.977777,8.702222,8.817777,8.389498,146465559
2018-06-01,8.862222,8.871111,8.506666,8.640000,8.220355,57013589
2018-06-04,8.933333,9.066666,8.733333,8.773333,8.355809,54824472
2018-06-05,8.746666,8.773333,8.466666,8.746666,8.330411,57420796
2018-06-06,8.773333,9.106666,8.600000,8.746666,8.330411,86229642
2018-06-07,8.626666,8.746666,8.266666,8.306666,7.911351,108822565
2018-06-08,8.320000,8.466666,8.240000,8.373333,7.974844,59100804
2018-06-11,8.333333,8.666666,8.333333,8.453333,8.051038,50810956
2018-06-12,8.493333,8.920000,8.493333,8.880000,8.457399,68729361
2018-06-13,8.986666,8.986666,8.546666,8.626666,8.216123,53543751
2018-06-14,8.613333,8.813333,8.560000,8.586666,8.178023,52899505
2018-06-15,8.653333,8.760000,8.453333,8.466666,8.063735,52646277
2018-06-19,8.360000,8.560000,8.026666,8.160000,7.771663,85749814
2018-06-20,8.080000,8.466666,8.040000,8.373333,7.974844,94209711
2018-06-21,8.480000,8.680000,8.306666,8.306666,7.911351,67764177
2018-06-22,8.306666,8.346666,8.066666,8.146666,7.758964,54182172
2018-06-25,8.200000,8.280000,7.840000,7.840000,7.466892,66356119
2018-06-26,7.760000,8.253333,7.733333,8.120000,7.733569,90303225
2018-06-27,8.200000,8.240000,7.573333,7.586666,7.225615,80558581
2018-06-28,7.613333,7.800000,7.453333,7.533333,7.174819,71179416
2018-06-29,7.466666,8.120000,7.466666,8.026666,7.644676,86628234
2018-07-03,8.000000,8.000000,7.453333,7.826666,7.454193,105894457
2018-07-04,7.893333,7.893333,7.413333,7.426666,7.073229,46910316
2018-07-05,7.346666,7.600000,7.013333,7.293333,6.946243,71902369
2018-07-06,7.413333,7.626666,7.280000,7.493333,7.136723,84969520
2018-07-09,7.626666,7.973333,7.626666,7.893333,7.517687,63410950
2018-07-10,8.066666,8.120000,7.746666,7.960000,7.581181,73818453
